1,3,5,15,13,7,10,2,6,16
3,5,15,19,0,7,13,10,16,6
12,15,13,3,1,0,7,3681,5,10
1,13,15,7,5,0,10,6,16,2
8,11,9,18,6,16,1,3,7,5
1,3,0,7,15,13,10,16,14,18
9,16,15,18,14,13,3,1,11,7
10,15,13,1,3,5,0,16,11,9
4,11,9,18,16,3,1,6,5,0
16,6,18,11,15,13,14,4,21,8
7,15,11,3,13,1,5,12,0,9
15,16,4,8,10,9,18,14,7,13
2,10,15,3,7,11,13,1,5,0
15,3,16,14,18,6,9,7,0,5
16,18,13,15,6,9,11,3,1,7
13,10,11,16,6,7,14,9,1,3
18,9,13,14,11,15,6,7,1,3
23,14,15,16,21,7,1,18,11,2
16,9,14,13,6,11,15,7,1,3
1,22,7,9,15,10,2,3,5,13
21,16,15,11,6,18,3,14,1,9
20,9,23,16,15,18,11,1,6,3
19,9,23,21,1132,5052,2420,3729,269,3187
17,21,9,20,1154,22,24,4747,19,2193
20,7,4853,15,21,16,11,10,9,5
7,10,19,15,1,5,2,3,179,13
56,343,27,412,55,283,288,1398,234,240
1066,20,21,26,2269,1020,474,175,332,1962
31,30,29,711,5493,1525,2665,2225,2146,3429
30,28,31,1430,2471,991,5731,1372,3821,1239
28,29,31,711,1430,1239,2049,2187,5731,1325
28,30,29,1525,711,2225,5493,2665,3996,2146
138,1712,239,238,96,109,743,1912,181,233
479,720,873,807,1464,3322,57,1661,1123,3472
38,426,1806,425,435,434,440,2304,451,5403
1650,11,15,3729,10,24,22,5903,19,12
1375,1374,132,1713,164,165,3820,1659,1813,1835
131,314,313,611,934,5680,295,581,132,1620
5322,1157,523,34,3240,1705,816,910,833,5946
45,46,44,159,43,42,41,157,47,160
48,1724,45,156,155,46,167,513,808,1977
154,159,45,39,46,44,42,43,219,808
44,43,159,157,45,2959,46,39,41,808
44,42,159,157,46,39,2959,45,808,41
159,46,43,42,157,39,45,158,2959,41
46,39,159,44,42,43,41,1724,47,157
45,44,39,159,47,158,43,42,41,157
46,48,158,45,44,39,159,49,43,156
155,156,47,46,158,45,40,39,44,159
158,159,44,39,46,43,45,42,47,473
3212,1876,1263,1913,4505,3563,413,482,4126,2577
1045,361,236,345,3140,15,179,2707,217,227
185,1665,2245,102,4,3456,588,11,473,257
124,79,2411,1422,1241,3606,830,78,442,796
200,65,195,530,201,304,196,204,469,194
56,823,175,1863,140,4003,65,474,736,343
140,179,55,343,65,823,26,474,175,4003
58,60,61,59,479,4480,443,441,444,33
57,59,60,61,479,62,33,3121,807,720
62,58,60,61,57,3122,1238,1483,856,859
61,57,58,59,4480,443,441,444,3122,62
60,57,58,59,3122,62,443,441,1918,1637
59,3122,60,61,58,1238,1021,57,1811,1124
110,206,723,64,184,128,344,339,1235,1795
344,184,128,450,63,206,339,1235,2687,4591
304,55,823,56,140,474,179,736,167,343
574,1814,741,354,352,561,181,497,1819,151
3872,1447,1974,3336,1406,3927,3307,370,2571,3169
580,167,887,513,156,253,48,726,155,40
70,72,71,615,1964,4639,3859,329,209,4640
71,69,72,1964,615,4639,3859,359,4117,3648
70,72,69,615,4117,4402,4092,248,4135,3648
71,69,70,615,4117,4135,4402,1964,424,209
132,4255,1209,613,6095,2016,5616,1316,92,400
1150,2097,1020,75,77,2096,1962,1613,183,312
183,77,74,312,1020,1962,2096,5322,343,236
728,342,341,265,5876,2345,351,4669,5231,289
183,75,74,1000,312,219,154,41,2096,1020
79,1710,730,3002,5825,4790,2067,252,2079,53
78,1710,3240,6031,1168,869,345,3002,4738,201
1001,698,961,2688,2158,223,998,2139,1937,390
82,254,153,149,1216,1217,1807,589,238,133
81,254,149,1216,153,1217,239,133,238,500
451,314,611,316,311,448,1847,581,445,1276
1292,1249,4507,1064,942,3058,1344,2489,3168,2238
4729,3918,413,5543,1857,5601,4342,309,1263,1830
465,287,579,2661,316,440,663,2926,311,317
88,119,117,144,2602,163,1660,442,292,1737
87,119,144,117,2602,163,762,1660,3320,292
1033,289,163,90,91,166,162,1061,762,403
91,166,162,289,290,89,163,243,1033,95
166,90,162,289,290,89,163,243,1033,95
182,400,5149,5709,2256,477,888,325,95,132
249,126,1854,2207,1321,808,157,264,4706,183
95,2521,888,2256,182,91,166,1944,807,92
94,166,91,888,1666,289,162,90,2521,2256
97,702,701,98,2345,5876,383,1666,289,91
701,702,96,98,1666,2345,95,341,289,477
701,97,702,96,2345,1666,95,477,968,511
3681,1199,838,1132,5467,786,1039,1669,5434,1491
379,377,378,374,4823,380,385,102,384,105
372,373,5758,375,6066,104,5759,3074,891,176
103,381,379,378,377,100,384,380,915,385
102,377,381,379,378,384,380,385,158,100
372,101,5758,373,375,1395,1053,1865,5759,1350
179,380,100,102,384,345,377,379,103,378
2602,1445,441,4480,3378,586,992,443,4326,444
142,328,3315,1012,199,366,538,380,746,3241
666,6028,5587,2929,4115,857,4703,4729,3675,462
33,32,208,3475,4797,351,5231,238,91,4669
63,206,723,148,1856,5430,2951,128,344,537
112,1291,3826,5004,5718,2307,5567,3427,5592,914
111,940,1865,996,5003,104,1486,1053,914,3427
6049,2474,6072,696,1110,5984,2645,1936,4832,2534
492,494,491,300,1012,202,296,1817,221,2847
