GameID,Name,Genre,ESRB,Platform,Publisher,Developer,Score,Year,URL
6437,trackmania,racing,e,pc,enlight,nadeo,7,2004,/games/boxart/full_2354890AmericaFrontccc.jpg
6438,trackmania 2: canyon,racing,,pc,ubisoft,nadeo,8.3,2011,/games/boxart/full_trackmania-2-canyon_606AmericaFront.jpg
6439,trailer park tycoon,strategy,t,pc,jaleco,jaleco entertainment,4.5,2002,/games/boxart/full_3238026AmericaFrontccc.jpg
6440,train frontier express,simulation,,xbl,microsoft,team train frontier,8,2011,/games/boxart/full_train-frontier-express_822AmericaFront.jpg
6441,trainz railroad simulator 2004,simulation,e,pc,unknown,auran games,7,2003,/games/boxart/full_trainz-railroad-simulator-2004_865AmericaFront.jpg
6442,trajectile,puzzle,e,dsiw,nintendo,q games,6.7,2010,/games/boxart/full_6986741AmericaFrontccc.jpg
6443,trash panic,puzzle,e,psn,sony computer entertainment,sony online entertainment,6.8,2009,/games/boxart/full_trash-panic_289AmericaFront.jpg
6444,trenches generals,strategy,,ww,unknown,fishing cactus,6,2011,/games/boxart/full_trenches-generals_715AmericaFront.jpg
6445,trials hd,racing,t,xbl,microsoft,"redlynx, ltd.",8.6,2009,/games/boxart/full_4228932AmericaFrontccc.jpg
6446,trials hd - big pack,misc,t,xbl,microsoft,"redlynx, ltd.",9,2009,/games/boxart/full_619584AmericaFrontccc.jpg
6447,triggerheart exelica,shooter,e10,xbl,warashi,warashi inc.,6.7,2008,/games/boxart/full_8473846AmericaFrontccc.jpg
6448,trine,platform,e10,psn,nobilis,frozenbyte,8.3,2009,/games/boxart/full_2319817AmericaFrontccc.png
6449,trine,platform,,ps3,nobilis,frozenbyte,8.2,2009,/games/boxart/full_6086672PALFrontccc.jpg
6450,triple shot sports,sports,e,ww,the code monkeys,the code monkeys,2,2010,/games/boxart/full_956116AmericaFrontccc.jpg
6451,trollboarder,sports,e,dsiw,enjoy gaming,enjoy gaming ltd.,3,2011,/games/boxart/full_trollboarder_13AmericaFront.jpg
6452,tropico: paradise island,strategy,t,pc,take-two interactive,breakaway games,8.2,2002,/games/boxart/full_854167AmericaFrontccc.jpg
6453,trouble witches neo!,shooter,t,xbl,snk playmore,adventure planning service,7,2011,/games/boxart/full_trouble-witches-neo_489AmericaFront.jpg
6454,tumble,puzzle,e,psn,sony computer entertainment,supermassive games ltd.,7.2,2010,/games/boxart/full_tumble_5AmericaFront.jpg
6455,ugly americans: apocalypsegeddon,shooter,m,xbl,unknown,backbone entertainment,7,2011,/games/boxart/full_ugly-americans-apocalypsegeddon_250AmericaFront.jpg
6456,ultima online,role-playing,m,pc,electronic arts,origin systems,9,1997,/games/boxart/6183950ccc.jpg
6457,ultimate fighting championship,sports,t,dc,crave entertainment,anchor,8.6,2000,/games/boxart/full_5303534AmericaFrontccc.jpg
6458,ultimate mortal kombat 3,fighting,m,xbl,midway games,digital eclipse,7.1,2006,/games/boxart/full_3380303AmericaFrontccc.jpg
6459,unbound saga,action,t,psn,vogster entertainment,vogster entertainment,4.9,2009,/games/boxart/full_unbound-saga_9AmericaFront.jpg
6460,unbound saga,action,t,xbl,vogster entertainment,vogster entertainment,5.5,2010,/games/boxart/full_unbound-saga_273AmericaFront.jpg
6461,under siege,strategy,e10,psn,unknown,seed studios,7,2011,/games/boxart/full_under-siege_339PALFront.jpg
6462,uno,misc,e,xbl,microsoft,carbonated games,8,2006,/games/boxart/full_8386128AmericaFrontccc.jpg
6463,uno,misc,e,gb,mattel interactive,hotgen studios,7.5,1999,/games/boxart/full_570095AmericaFrontccc.jpg
6464,uno,misc,e,psn,gameloft,gameloft,7.5,2009,/games/boxart/full_1520666AmericaFrontccc.png
6465,unreal,shooter,m,pc,gt interactive,epic games,8.7,1998,/games/boxart/full_unreal_59AmericaFront.jpg
6466,unreal tournament,shooter,m,dc,infogrames,secret level,9.3,2001,/games/boxart/full_2870672AmericaFrontccc.jpg
6467,unreal tournament,shooter,m,pc,gt interactive,epic games,9,1999,/games/boxart/8845163ccc.jpg
6468,valkyria chronicles ii,role-playing,t,psn,sega,sega wow overworks,8.1,2010,/games/boxart/full_valkyria-chronicles-ii_2AmericaFront.jpg
6469,valkyria chronicles: challenges from team edy,role-playing,t,psn,sega,sega wow overworks,8,2010,/games/boxart/full_6728660AmericaFrontccc.jpg
6470,vancouver 2010 - the official video game of the olympic winter games,sports,e,pc,sega,eurocom entertainment software,5,2010,/games/boxart/full_8843306PALFrontccc.jpg
6471,vandal hearts: flames of judgment,role-playing,t,psn,konami,hijinx studios,6.9,2010,/games/boxart/full_418205AmericaFrontccc.png
6472,vandal hearts: flames of judgment,role-playing,t,xbl,konami,hijinx studios,6.8,2010,/games/boxart/full_5193434AmericaFrontccc.jpg
6473,vay,role-playing,,scd,working designs,sims,8.6,1994,/games/boxart/2998648ccc.jpg
6474,vegas tycoon,strategy,t,pc,global star software,deep red,7.7,2004,/games/boxart/full_6194169AmericaFrontccc.jpg
6475,vin diesel: wheelman,racing,t,xbl,ubisoft,tigon,6.7,2011,/games/boxart/full_vin-diesel-wheelman_7AmericaFront.jpg
6476,viper racing,racing,e,pc,sierra entertainment,monster games,10,1998,/games/boxart/full_1003134PALFrontccc.jpg
6477,virtua fighter,fighting,t,pc,sega,sega-am2,7.4,1996,/games/boxart/3904471ccc.jpg
6478,virtua fighter 2,fighting,t,pc,sega,sega-am2,8.1,1997,/games/boxart/4071551ccc.jpg
6479,virtua tennis,sports,e,dc,sega,hitmaker,9.2,2000,/games/boxart/6715909ccc.jpg
6480,virtua tennis,sports,e,ngage,sega,hitmaker,3.6,2003,/games/boxart/full_virtua-tennis_45AmericaFront.jpg
6481,vt tennis,sports,e,dsiw,virtual toys,virtual toys,4,2010,/games/boxart/full_2159316AmericaFrontccc.jpg
6482,wallace & gromit's grand adventures episode 3: muzzled!,adventure,e,pc,telltale games,telltale games,8,2009,/games/boxart/full_1435611AmericaFrontccc.jpg
